"","name","price","discount","originalprice"
"1","boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)","₹1,299","56% off","₹2,999"
"2","SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)","₹2,299","56% off","₹2,999"
"3","Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)","₹1,299","56% off","₹2,999"
"4","Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)","₹1,299","56% off","₹2,999"
"5","Ambrane 10000 mAh Power Bank (12 W, Fast Charging)","₹899","56% off","₹2,999"
"6","Mi 10000 mAh Power Bank (22.5 W, Fast Charging)","₹1,699","56% off","₹2,999"
"7","Spigen 10000 mAh Wireless Power Bank (20 W, Power Deliv...","₹1,699","56% off","₹2,999"
"8","DUDAO 10000 mAh Wireless Power Bank (5 W, Quick Charge ...","₹1,519","56% off","₹2,999"
"9","Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,179","56% off","₹2,999"
"10","Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,179","56% off","₹2,999"
"11","CAPONICS 10000 mAh Power Bank (22.5 W, Power Delivery 3...","₹973","56% off","₹2,999"
"12","TEMPT 10000 mAh Power Bank","₹999","56% off","₹2,999"
"13","Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P...","₹1,179","56% off","₹2,999"
"14","Ambrane 10000 mAh Power Bank (12 W, Fast Charging)","₹899","56% off","₹2,999"
"15","Ambrane 10000 mAh Wireless Power Bank","₹2,287","56% off","₹2,999"
"16","Callmate 10000 mAh Power Bank (15 W, Fast Charging)","₹1,299","56% off","₹2,999"
"17","Intex 10000 mAh Power Bank (22 W, Fast Charging)","₹899","56% off","₹2,999"
"18","Intex 10000 mAh Power Bank (22 W, Fast Charging, Quick ...","₹899","56% off","₹2,999"
"19","REDMI 10000 mAh Power Bank (10 W, Fast Charging)","₹1,199","56% off","₹2,999"
"20","REDMI 10000 mAh Power Bank (10 W, Fast Charging)","₹1,199","56% off","₹2,999"
"21","Ambrane 10000 mAh Wireless Power Bank","₹2,289","56% off","₹2,999"
"22","Portronics 10000 mAh Power Bank (12 W, Fast Charging)","₹699","56% off","₹2,999"
"23","Syska 10000 mAh Power Bank (Fast Charging)","₹799","56% off","₹2,999"
"24","Portronics 10000 mAh Power Bank (12 W, Fast Charging)","₹699","56% off","₹2,999"
"25","MI-STS 10000 mAh Power Bank (10 W, Fast Charging)","₹951","56% off","₹2,999"
"26","Flipkart SmartBuy 10000 mAh Power Bank (22.5 W, Power D...","₹799","56% off","₹2,999"
"27","Mi 10000 mAh Wireless Power Bank","₹2,499","56% off","₹2,999"
"28","ZEBRONICS 10000 mAh Power Bank (20 W, Fast Charging)","₹999","56% off","₹2,999"
"29","Callmate 10000 mAh Power Bank (23 W, Fast Charging, Pow...","₹1,099","56% off","₹2,999"
"30","ZEBRONICS 10000 mAh Power Bank (20 W, Fast Charging)","₹999","56% off","₹2,999"
"31","Flipkart SmartBuy 10000 mAh Power Bank (12 W, Fast Char...","₹699","56% off","₹2,999"
"32","Intex 10000 mAh Power Bank (12 W, Fast Charging)","₹799","56% off","₹2,999"
"33","Spigen 10000 mAh Wireless Power Bank (20 W, Fast Chargi...","₹2,499","56% off","₹2,999"
"34","Spigen 10000 mAh Wireless Power Bank (20 W, Fast Chargi...","₹2,349","56% off","₹2,999"
"35","Callmate 10000 mAh Power Bank (12 W, Fast Charging)","₹799","56% off","₹2,999"
"36","Callmate 10000 mAh Power Bank (15 W, Fast Charging)","₹758","56% off","₹2,999"
"37","Intex 10000 mAh Power Bank (12 W, Fast Charging)","₹799","56% off","₹2,999"
"38","Inbase 10000 mAh Power Bank (12 W, Fast Charging)","₹899","56% off","₹2,999"
"39","ORAIMO 10000 mAh Power Bank (22.5 W, Power Delivery 3.0...","₹899","56% off","₹2,999"
"40","Callmate 10000 mAh Power Bank (15 W, Fast Charging)","₹995","56% off","₹2,999"
